,ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,callSmvVol,putSmvVol,extSmvVol,extCallValue,extPutValue,spotPrice,quoteDate,updatedAt,snapShotEstTime,snapShotDate,expiryTod,tickerId,monthId,sym
250,SPX,2022-10-26,2022-10-27,2,3750.0,3879.1447170753977,248.0,239.0,8.0,8.0,1927.0,431.0,398.0,254.0,129.9,130.685788,131.0,0.7,0.758101,0.75,0.253132,0.296832,0.340532,0.315,0.312855,0.313987,0.315119,-0.0213656264571876,0.97933871537941,0.000754538885719891,-1.9449051329625715,0.1035179527050623,0.1178173598588784,-0.1220131903778565,-1.3721701076210315,0.29628,0.315902,0.60964,141.061067,11.236549,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273750.0
251,SPX,2022-10-26,2022-10-27,2,3755.0,3879.1447170753977,18.0,59.0,8.0,8.0,646.0,112.0,423.0,468.0,125.0,125.696996,126.1,0.8,0.833144,0.9,0.259074,0.297342,0.335611,0.311,0.309432,0.312684,0.315937,-0.0213656264571876,0.9749635368413244,0.0008873668954227033,-2.183340721366005,0.1265178539934243,0.1174350647035104,-0.1214742538024893,-1.6124641133728077,0.298678,0.311588,0.589487,135.83284,11.007436,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273755.0
252,SPX,2022-10-26,2022-10-27,2,3760.0,3879.1447170753977,59.0,223.0,8.0,8.0,507.0,257.0,797.0,328.0,120.2,120.709255,121.3,0.9,0.961876,1.0,0.268334,0.301169,0.334004,0.308,0.304998,0.307984,0.310969,-0.0213656264571876,0.970041547892361,0.0010323268729015,-2.442849317514918,0.1536120822117502,0.1169846270309955,-0.1208677652186906,-1.874162382012189,0.298737,0.308693,0.570418,130.662752,10.83647,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273760.0
253,SPX,2022-10-26,2022-10-27,2,3765.0,3879.1447170753977,2.0,188.0,8.0,8.0,745.0,89.0,697.0,354.0,115.3,115.866671,116.4,1.05,1.10665,1.15,0.267564,0.297553,0.327542,0.305,0.302777,0.305489,0.3082,-0.0213656264571876,0.964297492876704,0.0011945278556339,-2.732017264422997,0.1840198981671617,0.1164316707409726,-0.1201596849398356,-2.166018366024124,0.298462,0.305849,0.553261,125.596434,10.769296,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273765.0
254,SPX,2022-10-26,2022-10-27,2,3770.0,3879.1447170753977,50.0,212.0,8.0,8.0,1000.0,385.0,333.0,343.0,110.5,111.081109,111.6,1.25,1.289735,1.35,0.270643,0.296996,0.323349,0.303,0.30186,0.304143,0.306425,-0.0213656264571876,0.9576942546789928,0.0013736879446321,-3.050964978762659,0.1842966473940226,0.1157714862688161,-0.1193453459791271,-2.488175376267578,0.298487,0.303674,0.539781,120.731044,10.903104,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273770.0
255,SPX,2022-10-26,2022-10-27,2,3775.0,3879.1447170753977,3434.0,3364.0,13.0,32.0,1412.0,377.0,433.0,413.0,105.9,106.281168,106.8,1.45,1.508489,1.55,0.28121,0.300393,0.319576,0.301,0.299416,0.30136,0.303304,-0.0213656264571876,0.9501044361153632,0.0015702023755325,-3.3984783542343973,0.2191148966232464,0.1149880075349319,-0.1184088962702389,-2.839497407043112,0.297459,0.30169,0.516747,115.339647,10.510829,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273775.0
256,SPX,2022-10-26,2022-10-27,2,3780.0,3879.1447170753977,28.0,83.0,8.0,8.0,1325.0,441.0,383.0,332.0,101.0,101.55638,102.0,1.7,1.753348,1.8,0.276265,0.294976,0.313686,0.299,0.297665,0.299606,0.301548,-0.0213656264571876,0.9414205525927628,0.0017843787335608,-3.776014363239747,0.257293481086278,0.1140676733026545,-0.1173370056051226,-3.2215073547827657,0.297085,0.299736,0.499052,110.24046,10.410857,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273780.0
257,SPX,2022-10-26,2022-10-27,2,3785.0,3879.1447170753977,27.0,46.0,8.0,8.0,531.0,592.0,345.0,305.0,96.3,96.817297,97.4,2.0,2.052054,2.1,0.277488,0.296024,0.314561,0.298,0.296573,0.298241,0.299909,-0.0213656264571876,0.9318697511959488,0.0020114822343605,-4.174551361042432,0.2996227504075189,0.1130388084081657,-0.1161577021946413,-3.625045881749946,0.294922,0.29831,0.482903,105.225262,10.395021,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273785.0
258,SPX,2022-10-26,2022-10-27,2,3790.0,3879.1447170753977,93.0,157.0,32.0,8.0,630.0,134.0,337.0,209.0,91.6,92.176883,92.7,2.35,2.406501,2.45,0.276993,0.29375,0.310506,0.297,0.295594,0.297044,0.298493,-0.0213656264571876,0.9211339664416464,0.0022544825211562,-4.598016518025883,0.3448751326299911,0.1118614437290206,-0.1148315442378589,-4.054234456658855,0.294569,0.297232,0.469465,100.407168,10.576848,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273790.0
259,SPX,2022-10-26,2022-10-27,2,3795.0,3879.1447170753977,7.0,95.0,21.0,8.0,578.0,685.0,1.0,124.0,87.1,87.58509,88.1,2.8,2.821171,2.85,0.280122,0.293951,0.307779,0.296,0.29565,0.296372,0.297094,-0.0213656264571876,0.908929094478692,0.0025144253267648,-5.047556766890718,0.3453873499593938,0.1104997334464145,-0.1133231620542574,-4.5103942662925816,0.293538,0.296262,0.445064,94.943784,10.112598,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273795.0
260,SPX,2022-10-26,2022-10-27,2,3800.0,3879.1447170753977,223.0,453.0,32.0,8.0,1954.0,280.0,400.0,291.0,82.5,83.060352,83.6,3.2,3.303565,3.4,0.279189,0.292896,0.306604,0.295,0.292806,0.295343,0.297879,-0.0213656264571876,0.8955406874803744,0.002785370077987,-5.513176407568603,0.3940336546523476,0.1089892665347953,-0.1116678686230443,-4.983356605074889,0.293154,0.295433,0.430413,90.06655,10.234605,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273800.0
261,SPX,2022-10-26,2022-10-27,2,3805.0,3879.1447170753977,101.0,136.0,67.0,8.0,598.0,116.0,71.0,150.0,78.1,78.588759,79.1,3.8,3.848326,3.9,0.281326,0.292572,0.303817,0.294,0.293396,0.29452,0.295645,-0.0213656264571876,0.8807959341978144,0.0030670115797305,-5.992293576946184,0.4445924823385087,0.1073081417111499,-0.1098441134672612,-5.470646076646529,0.292319,0.294483,0.408668,84.760369,9.927636,3883.49,2022-10-26T15:59:52Z,2022-10-26T16:00:01Z,1200,2022-10-26T16:00:00Z,pm,108105,2,SPX2022-10-273805.0
